Formulation,RemovedM,dGtotal,dG1,Z,Hybrid,OS,BV_vac,Charge_vac,Mag_vac,Mag_env,Mag_inst,BV_Oxygen,Total_d_electrons,d_up_tot,d_down_tot,d_diff,t2g,eg,band_center_diff,instabilityindex,Ionicradius
MnFeNi,Mn(9),0.374084862,5.315360921,25,1.228631317,3.2,3.712534718,11.6731,2.5004,7.7427,5.2423,2.301930153,5.1968,3.9269,1.2699,2.657,2.9507,2.2462,4.649039816,0.498235616,53
FeNiMn,Ni(1),0.321736952,3.372013011,28,0.360055812,2.1,2.319746083,15.0396,1.2188,-8.9738,-10.1926,2.266504098,8.306,4.7768,3.5291,1.2477,4.6893,3.6167,4.307170289,0.420107922,69
FeNiMn,Mn(2),1.442099846,6.383375906,25,1.518938985,3.5,3.81225019,11.7032,2.4183,-11.6717,-14.09,2.136691508,5.1569,3.9654,1.1914,2.774,2.9649,2.192,4.214147002,0.420107922,53
FeNiMn,Fe(3),0.341079061,3.73735512,26,0.633228335,2.8,2.742840434,12.76,-3.4751,-6.1822,-2.7071,2.076427808,5.9668,1.0312,4.9356,3.9044,3.6366,2.3302,4.579891245,0.420107922,55
FeNiMn,Fe(4),0.818151639,4.214427698,26,0.633228335,2.8,2.742840434,12.76,-3.4751,-6.1822,-2.7071,2.136691508,5.9668,1.0312,4.9356,3.9044,3.6366,2.3302,4.579891245,0.420107922,55
FeNiMn,Fe(5),1.105110029,4.501386088,26,1.150622233,3.5,3.451596086,12.7048,-2.7259,-9.3304,-6.6045,2.076427808,5.9844,1.4635,4.5209,3.0574,3.4413,2.543,4.525078048,0.420107922,55
FeNiMn,Fe(6),0.543175311,3.93945137,26,1.150622233,3.5,3.451596086,12.7048,-2.7259,-9.3304,-6.6045,2.266504098,5.9844,1.4635,4.5209,3.0574,3.4413,2.543,4.525078048,0.420107922,55
FeNiMn,Fe(7),0.683933264,4.080209324,26,0.650415179,2.8,2.742858696,12.7458,-3.5485,-8.7649,-5.2164,2.076427808,5.9292,0.9752,4.954,3.9788,3.5906,2.3386,4.642061412,0.420107922,55
FeNiMn,Fe(8),1.258908976,4.655185035,26,0.650415179,2.8,2.742858696,12.7458,-3.5485,-8.7649,-5.2164,2.136691508,5.9292,0.9752,4.954,3.9788,3.5906,2.3386,4.642061412,0.420107922,55
NiVFe,V(1),0.367961105,9.503597242,23,1.844797159,3.9,3.854702882,8.5241,0.0876,6.7314,6.6438,2.108845648,3.2167,1.9398,1.2768,0.663,1.9993,1.2173,2.84056402,0.523423392,58
NiVFe,Fe(2),1.977501675,5.373777734,26,1.090024164,3,4.230185146,12.8263,-1.5028,5.8354,7.3382,2.172465084,6.1748,2.3703,3.8045,1.4342,3.4301,2.7448,3.698463892,0.523423392,58.5
NiVFe,Ni(3),1.194661737,4.244937796,28,0.490696374,2.3,2.584584031,15.0568,0.9638,2.428,1.4642,2.122762188,8.2307,4.5788,3.652,0.9268,4.6906,3.5401,4.321290479,0.523423392,56
NiVFe,Ni(4),1.219656696,4.269932756,28,0.490696374,2.3,2.584584031,15.0568,0.9638,2.428,1.4642,2.172465084,8.2307,4.5788,3.652,0.9268,4.6906,3.5401,4.321290479,0.523423392,56
NiVFe,Ni(7),0.045641555,3.095917614,28,0.298887598,2,2.174599066,15.0733,1.3786,3.4236,2.045,2.122762188,8.3082,4.7527,3.5555,1.1972,4.5786,3.7295,3.61118467,0.523423392,69
NiVFe,Ni(8),0.40092123,3.451197289,28,0.298887598,2,2.174599066,15.0733,1.3786,3.4236,2.045,2.172465084,8.3082,4.7527,3.5555,1.1972,4.5786,3.7295,3.61118467,0.523423392,69
NiVFe,Ni(9),0.623685488,3.673961547,28,0.497087302,2.3,2.396971446,15.1035,1.2208,-0.4986,-1.7194,2.108845648,8.2806,4.6568,3.6238,1.033,4.6478,3.6329,4.734025141,0.523423392,69
NiVFe,Ni,-6.168388924,3.451197289,28,0.298887598,2.1,2.174599066,15.0733,1.3786,3.4236,2.045,2.172465084,8.3082,4.7527,3.5555,1.1972,4.5786,3.7295,3.61118467,0.523423392,69
FeNiV,Ni(1),-0.272384903,2.777891157,28,0.614299241,2.4,2.142061911,15.003,1.3612,-3.3385,-4.6997,2.355535086,8.2454,4.5591,3.6863,0.8728,4.5562,3.6893,4.901297967,0.396089654,69
FeNiV,V(2),-1.382809441,7.752826696,23,1.710373574,3.7,3.498155867,9.0298,0.2714,-1.1539,-1.4253,2.355813976,3.2324,2.1138,1.1186,0.9952,1.9529,1.2794,3.590953171,0.396089654,64
FeNiV,Fe(3),-0.465675432,2.930600627,26,0.699583326,2.4,3.567797794,12.7521,-0.601,-2.6941,-2.0931,2.471807752,6.2859,2.8164,3.4695,0.6531,3.4176,2.8684,4.567949017,0.396089654,58.5
FeNiV,Fe(4),0.002800998,3.399077057,26,0.699583326,2.4,3.567797794,12.7521,-0.601,-2.6941,-2.0931,2.355813976,6.2859,2.8164,3.4695,0.6531,3.4176,2.8684,4.567949017,0.396089654,58.5
FeNiV,Fe(5),0.54099146,3.93726752,26,0.693256459,2.5,3.574178738,12.6343,-0.8479,0.0038,0.8517,2.471807752,6.2003,2.6117,3.5886,0.9769,3.2823,2.9179,3.94396627,0.396089654,58.5
FeNiV,Fe(6),0.536999957,3.933276016,26,0.693256459,2.5,3.574178738,12.6343,-0.8479,0.0038,0.8517,2.355535086,6.2003,2.6117,3.5886,0.9769,3.2823,2.9179,3.94396627,0.396089654,58.5
FeNiV,Fe(7),0.2520597,3.648335759,26,0.601388157,2.4,3.616437095,12.679,-0.7737,-1.2652,-0.4915,2.471807752,6.275,2.7338,3.5412,0.8074,3.3155,2.9596,4.057896648,0.396089654,58.5
FeNiV,Fe(8),0.451293719,3.847569778,26,0.601388157,2.4,3.616437095,12.679,-0.7737,-1.2652,-0.4915,2.355813976,6.275,2.7338,3.5412,0.8074,3.3155,2.9596,4.057896648,0.396089654,58.5
FeNiV,Fe(9),-0.089440737,3.306835323,26,0.820451188,2.5,3.525984012,12.7469,-0.5702,1.8163,2.3865,2.355535086,6.3355,2.7247,3.6108,0.8861,3.4579,2.8775,4.16013727,0.396089654,58.5
VMnAl,Mn(1),0.214968536,5.156244595,25,1.080557558,2.6,3.169118163,9.756,-0.2274,2.1948,2.4222,2.258228122,5.5679,2.5688,2.9991,0.4303,2.974,2.5939,4.712036885,0.411966295,58
VMnAl,Al(2),-0.454966274,7.150309786,13,1.172054862,3,2.925305853,0.4442,0.0038,4.4334,4.4296,2.19127187,0,0,0,0,0,0,1.676714908,0.411966295,53.5
VMnAl,V(3),-3.494485755,5.641150382,23,1.228197147,2.9,3.013406059,8.8715,1.2646,1.6137,0.3491,2.183382626,3.4078,2.6217,0.786,1.8357,1.8651,1.5428,4.042698117,0.411966295,64
